Path,Total Cost,Average Stealth,Path Length,Path Criticality
"['T_Rule_65_0', 'A_Rule_65_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_66_0', 'A_Rule_66_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_67_0', 'A_Rule_67_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_68_0', 'A_Rule_68_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['CH_access_authentication', 'T_Rule_129_0', 'A_Rule_129_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",18,1.625,8,0.03524215884422487
"['CH_access_authentication', 'T_Rule_130_0', 'A_Rule_130_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",18,1.625,8,0.03524215884422487
"['CH_access_authentication', 'T_Rule_131_0', 'A_Rule_131_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",18,1.625,8,0.03524215884422487
"['CH_access_authentication', 'T_Rule_132_0', 'A_Rule_132_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",18,1.625,8,0.03524215884422487
"['CH_access_authentication', 'T_Rule_133_0', 'A_Rule_133_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",18,1.625,8,0.03524215884422487
"['CH_access_authentication', 'T_Rule_134_0', 'A_Rule_134_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",18,1.625,8,0.03524215884422487
"['CH_access_authentication', 'T_Rule_135_0', 'A_Rule_135_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",18,1.625,8,0.03524215884422487
"['CH_access_authentication', 'T_Rule_136_0', 'A_Rule_136_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",18,1.625,8,0.03524215884422487
"['CH_access_authentication', 'T_Rule_137_0', 'A_Rule_137_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",18,1.625,8,0.03524215884422487
"['CH_access_authentication', 'T_Rule_138_0', 'A_Rule_138_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",18,1.625,8,0.03524215884422487
"['CH_access_authentication', 'T_Rule_139_0', 'A_Rule_139_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",18,1.625,8,0.03524215884422487
"['T_Rule_140_0', 'A_Rule_140_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_141_0', 'A_Rule_141_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_142_0', 'A_Rule_142_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_143_0', 'A_Rule_143_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_144_0', 'A_Rule_144_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_145_0', 'A_Rule_145_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_146_0', 'A_Rule_146_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_147_0', 'A_Rule_147_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_148_0', 'A_Rule_148_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_149_0', 'A_Rule_149_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_150_0', 'A_Rule_150_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_151_0', 'A_Rule_151_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_152_0', 'A_Rule_152_0', 'CH_door_lock', 'T_Rule_154_0', 'A_Rule_154_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",15,1.571,7,0.03524215884422487
"['T_Rule_155_0', 'A_Rule_155_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",8,1.5,4,0.0023579609252189536
"['T_Rule_156_0', 'A_Rule_156_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",8,1.5,4,0.0023579609252189536
"['T_Rule_162_0', 'A_Rule_162_0', 'CH_Temperature_ServerRoom', 'T_Rule_163_0', 'A_Rule_163_0', 'CH_alarm', 'T_Rule_58_0', 'A_Rule_58_0']",19,1.857,7,0.003952391646081296
